date, title, location, link, details
27/2/2004,EDA using Direct Manipulation Graphics,"Sydney Summer Statistics Workshop, Sydney University,
Australia",,invited talk
10/9/03,Using Graphics in Exploratory Data Analysis and Data Mining: An Application of Supervised Classification in Olive Oil Qualit,"Data Mining and Machine Learning workshop, Statistical and Applied Mathematical Science Institute, Research Triangle Park, NC",,invited talk
10/4/03,"Some Dynamic Graphical
Tools to Assist Analysis of Microarray Data","Workshop on Microarrays, Victorian Microarray Technology
Consortium, Melbourne, Victoria, Australia",,keynote
13/12/2002,Classification Tours Applied to Microarray Data,"Department of Statistics, Harvard University",,invited talk
8/10/02,"Using Multimedia Animation with Real-time Graphic Overlays for Visualizing a
Million Cases of Multivariate Data","How to Visualize a Million, Augsburg, Germany",,invited talk
12/9/02,Visualization of Microarrays Using Tours and Projection Pursuit,"Cambridge HealthTech Institute Conference, Washington, DC",,invited talk
11/7/02,Limn: Using Movie Technology to Drive Graphics for Massive Amounts of Data,"University of Augsburg, Germany",,invited talk
17/7/2002,"JUnderstanding Support Vector Machine
Classifiers using Graphics","Current Advances and Trends in Nonparametric Statistics, Crete, Greece",,invited talk
9/4/02,"Dynamic Graphics for
Multivariate Space-Time Data","Geology Department, ISU",,invited talk
12/12/01,"Visual Data Mining of Large, Multivariate Space-Time Data",American Geophysical Union San Francisco,,invited talk
1/10/01,Visual Data Mining: Interactive Dynamic Graphics for Data Analysis,"Department of Statistics, Macquarie university, Australia",,invited talk
1/7/01,Interactive and Dynamic Graphics for Data Analysis},"Workshop on Statistical Challenges in Modern Astronomy, Penn State University, State College, PN",,invited talk
1/5/01,"Visual Data Mining of Large, Multivariate Space-Time Data","Dept of Statistics, University of Western Australia",,invited talk
1/1/01,"Limn, to present an image or lifelike
imitation of; Limit-n, to explore any data set to its limits","Workshop on Non-parametric Statistics, Southern Methodist
University, Dallas, TX",,invited talk
1/11/00,Immersed in Statistics: your worst nightmare or your wildest dream!,"Da Vinci Colloquium, Dallas, TX",,colloquium
1/11/00,Visual Methods for Classification Problem,"Southern Methodist University, Dallas, TX",,invited talk
1/7/00,Issues and Approaches for Visualization of Large Multi-Dimensional Data,"NRCSE/GSP Workshop, Boulder, CO",,invited talk
